Type Sources Work Fingerprint Time
Parallel 1 1 24047778368257819 143.798996
Parallel 2 1 24036608230759029 157.843994
Parallel 4 1 24050039487185791 168.341995
Parallel 8 1 24059097198574752 414.087006
Parallel 16 1 24058457999602295 3117.028076
Parallel 32 1 24010428634194609 6393.613770
Parallel 1 1 24045402267515620 146.162994
Parallel 2 1 24036608230759029 166.569000
Parallel 4 1 24050039487185791 169.673004
Parallel 8 1 24059097198574752 204.860001
Parallel 16 1 24058457999602295 11213.744141
Parallel 32 1 24010428634194609 45296.175781
Parallel 1 1 24028121360546991 151.528000
Parallel 2 1 24036608230759029 152.011993
Parallel 4 1 24050039487185791 295.639008
Parallel 8 1 24059097198574752 196.886002
Parallel 16 1 24058457999602295 14184.994141
Parallel 32 1 24010428634194609 15197.045898
Parallel 1 1 24054281536983110 132.229996
Parallel 2 1 24036608230759029 279.170013
Parallel 4 1 24050039487185791 546.978027
Parallel 8 1 24059097198574752 1123.182983
Parallel 16 1 24058457999602295 18487.296875
Parallel 32 1 24010428634194609 7340.246094
Parallel 1 1 24047377188920458 146.102005
Parallel 2 1 24036608230759029 195.725006
Parallel 4 1 24050039487185791 175.723999
Parallel 8 1 24059097198574752 821.107971
Parallel 16 1 24058457999602295 3280.985107
Parallel 32 1 24010428634194609 47028.742188
Averages
Parallel 1 1 0 146.102005
Parallel 2 1 0 166.569000
Parallel 4 1 0 175.723999
Parallel 8 1 0 204.860001
Parallel 16 1 0 18487.296875
Parallel 32 1 0 47028.742188
