Type Sources Work Fingerprint Time
Parallel 1 1000 1198067004211200 219.779999
Serial 1 1000 1198067004211200 190.725006
Parallel 2 1000 6252583823081472 204.925003
Serial 2 1000 6252583823081472 309.394989
Parallel 4 1000 9221753504530432 330.371002
Serial 4 1000 9221753504530432 404.737000
Parallel 8 1000 50957367899062272 4401.169922
Serial 8 1000 50957367899062272 1047.853027
Parallel 16 1000 82442997525905408 17793.492188
Serial 16 1000 82442997525905408 1892.442017
Parallel 32 1000 114834202297368576 33415.089844
Serial 32 1000 114834202297368576 2524.791016
Parallel 1 2000 6906006279946240 419.453003
Serial 1 2000 6906006279946240 375.515991
Parallel 2 2000 6190749194911744 335.569000
Serial 2 2000 6190749194911744 609.828979
Parallel 4 2000 17277668634394624 698.314026
Serial 4 2000 17277668634394624 789.064026
Parallel 8 2000 44068248687214592 3991.845947
Serial 8 2000 44068248687214592 2065.812012
Parallel 16 2000 131086330934329344 25154.804688
Serial 16 2000 131086330934329344 4072.689941
